holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,is_weekend,is_rush_hour,transport_demand_level,temp_celsius,electricity_demand_level,water_service_demand_level,is_holiday
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545.0,9,1,False,True,High,15.129999999999995,Low,Low,0
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516.0,10,1,False,False,Medium,16.210000000000036,Low,Low,0
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767.0,11,1,False,False,High,16.430000000000007,Low,Low,0
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026.0,12,1,False,False,High,16.980000000000018,Low,Low,0
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918.0,13,1,False,False,High,17.99000000000001,Low,Low,0
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181.0,14,1,False,False,High,18.57000000000005,Low,Low,0
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584.0,15,1,False,False,High,20.02000000000004,Low,Low,0
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015.0,16,1,False,True,High,20.710000000000036,Low,Low,0
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791.0,17,1,False,True,High,20.99000000000001,Low,Low,0
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770.0,18,1,False,True,High,19.950000000000045,Low,Low,0
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539.0,19,1,False,False,Medium,17.82000000000005,Low,Low,0
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784.0,20,1,False,False,Medium,16.230000000000018,Low,Low,0
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361.0,21,1,False,False,Medium,15.460000000000036,Low,Low,0
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529.0,22,1,False,False,Low,14.010000000000048,Medium,Low,0
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963.0,23,1,False,False,Low,12.300000000000011,Medium,Low,0
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506.0,0,2,False,False,Low,11.480000000000018,Medium,Low,0
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321.0,1,2,False,False,Low,10.32000000000005,Medium,Low,0
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273.0,2,2,False,False,Low,8.03000000000003,Medium,Low,0
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367.0,3,2,False,False,Low,7.939999999999998,Medium,Low,0
,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814.0,4,2,False,False,Low,6.3799999999999955,Medium,Low,0
,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718.0,5,2,False,False,Medium,5.470000000000027,Medium,Low,0
,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673.0,6,2,False,False,High,5.080000000000041,Medium,Low,0
